country,state,lat,lng
US,Delaware,39.3185,-75.5071
US,Idaho,44.2405,-114.4788
US,Maine,44.6939,-69.3819
US,Michigan,43.3266,-84.5361
US,Mississippi,32.7416,-89.6787
US,Montana,46.9219,-110.4544
US,New Mexico,34.8405,-106.2485
US,North Dakota,47.5289,-99.784
US,South Dakota,44.2998,-99.4388
US,West Virginia,38.4912,-80.9545
US,Wyoming,42.756,-107.3025
US,"Kitsap, WA",47.6477,-122.6413
US,"Solano, CA",38.3105,-121.9018
US,"Santa Cruz, CA",37.0454,-121.958
US,"Napa, CA",38.5025,-122.2654
US,"Ventura, CA",34.3705,-119.1391
US,"Worcester, MA",42.4097,-71.8571
US,"Gwinnett, GA",33.9191,-84.0167
US,"DeKalb, GA",33.7956,-84.2279
US,"Floyd, GA",37.5455,-82.7779
US,"Fayette, GA",33.4502,-84.4803
US,"Gregg, TX",32.4893,-94.8521
US,"Monmouth, NJ",40.2589,-74.124
US,"Burlington, NJ",40.0712,-74.8649
US,"Camden, NJ",39.9259,-75.1196
US,"Passaic, NJ",40.8568,-74.1285
US,"Union, NJ",40.6976,-74.2632
US,"Eagle, CO",39.6553,-106.8287
US,"Larimer, CO",40.6956,-105.5943
US,"Arapahoe, CO",39.6203,-104.3326
US,"Gunnison, CO",38.5458,-106.9253
US,"Kane, IL",41.9879,-88.4016
US,"Monroe, PA",41.0458,-75.2479
US,"Philadelphia, PA",39.9526,-75.1652
US,"Norfolk, VA",36.8508,-76.2859
US,"Arlington, VA",38.8816,-77.09100000000002
US,"Spotsylvania, VA",38.2042,-77.6078
US,"Loudoun, VA",39.0768,-77.6536
US,"Prince George, MD",38.7849,-76.8721
US,"Pottawattamie, IA",41.3912,-95.4778
US,"Camden, SC",34.2465,-80.607
US,"Pima, AZ",32.0575,-111.6661
US,"Noble, IN",41.4277,-85.355
US,"Adams, IN",39.8522,-77.2865
US,"Boone, IN",40.0106,-86.4997
US,"Dane, WI",43.0186,-89.5498
US,"Pierce, WI",44.7509,-92.3814
US,"Cuyahoga, OH",41.4339,-81.6758
US,"Weber, UT",41.2603,-111.9522
US,"Wilton, CT",41.1954,-73.4379
China,Hubei,30.9756,112.2707
Iran,,32.0,53.0
"Korea, South",,36.0,128.0
France,France,46.2276,2.2137
China,Guangdong,23.3417,113.4244
China,Henan,33.882,113.61399999999999
China,Zhejiang,29.1832,120.0934
China,Hunan,27.6104,111.7088
China,Anhui,31.8257,117.2264
China,Jiangxi,27.614,115.7221
China,Shandong,36.3427,118.1498
Cruise Ship,Diamond Princess,35.4437,139.638
China,Jiangsu,32.9711,119.455
China,Chongqing,30.0572,107.874
China,Sichuan,30.6171,102.7103
China,Heilongjiang,47.861999999999995,127.7615
United Kingdom,UK,55.3781,-3.4360000000000004
Denmark,Denmark,56.2639,9.5018
China,Beijing,40.1824,116.4142
China,Shanghai,31.201999999999998,121.4491
China,Hebei,39.549,116.1306
China,Fujian,26.0789,117.9874
China,Guangxi,23.8298,108.7881
China,Shaanxi,35.1917,108.8701
China,Yunnan,24.974,101.48700000000001
China,Hainan,19.1959,109.7453
China,Guizhou,26.8154,106.8748
China,Tianjin,39.3054,117.323
China,Shanxi,37.5777,112.2922
China,Gansu,37.8099,101.0583
China,Hong Kong,22.3,114.2
China,Liaoning,41.2956,122.6085
China,Jilin,43.6661,126.1923
Czechia,,49.8175,15.472999999999999
China,Xinjiang,41.1129,85.2401
China,Inner Mongolia,44.0935,113.9448
China,Ningxia,37.2692,106.1655
Taiwan*,,23.7,121.0
Vietnam,,16.0,108.0
Russia,,60.0,90.0
China,Qinghai,35.7452,95.9956
China,Macau,22.1667,113.55
Moldova,,47.4116,28.3699
Bolivia,,-16.2902,-63.5887
Denmark,Faroe Islands,61.8926,-6.9118
France,St Martin,18.0708,-63.0501
Honduras,,15.2,-86.2419
United Kingdom,Channel Islands,49.3723,-2.3644
Canada,New Brunswick,46.5653,-66.4619
China,Tibet,31.6927,88.0924
Congo (Kinshasa),,-4.0383,21.7587
Cote d'Ivoire,,7.54,-5.5471
France,Saint Barthelemy,17.9,-62.8333
Jamaica,,18.1096,-77.2975
Reunion,,-21.1151,55.5364
Turkey,,38.9637,35.2433
United Kingdom,Gibraltar,36.1408,-5.3536
