country_code,population,region,income
ZMB,17351822,Sub-Saharan Africa,Lower middle income
ZWE,14439018,Sub-Saharan Africa,Lower middle income
TWN,23780000,East Asia & Pacific,High income
BLM,7000,Latin America & Caribbean,High income
GUF,290691,Latin America & Caribbean,High income
MTQ,376480,Latin America & Caribbean,High income
WLD,7770631490,World,-
ANT,227049,America & Caribbean,High income
ERI,5750433,East & North Africa,Low income
BES,25157,America & Caribbean,High income
